,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , , ,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 20.05],numeric__TotalCharges [20.05; 20.05]
1, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 4.0],numeric__MonthlyCharges [20.05; 20.05],numeric__TotalCharges [20.05; 91.45]
2, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 37.0],numeric__MonthlyCharges [20.05; 36.65],numeric__TotalCharges [20.05; 1315.0]
3, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, , , , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 69.0],numeric__MonthlyCharges [20.05; 20.3],numeric__TotalCharges [20.05; 1356.3]
4, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, , , , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 26.0],numeric__MonthlyCharges [19.3; 20.05],numeric__TotalCharges [20.05; 504.2]
5, , ,categorical__InternetService_No, , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 9.0],numeric__MonthlyCharges [20.05; 21.25],numeric__TotalCharges [20.05; 204.55]
6, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [20.05; 43.95],numeric__TotalCharges [20.05; 85.1]
7, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 24.0],numeric__MonthlyCharges [20.05; 34.25],numeric__TotalCharges [20.05; 828.2]
8, , ,categorical__InternetService_No, , , , , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 64.0],numeric__MonthlyCharges [20.05; 20.05],numeric__TotalCharges [20.05; 1198.05]
9, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, , , , , ,categorical__SeniorCitizen_1, , , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 9.0],numeric__MonthlyCharges [19.85; 20.05],numeric__TotalCharges [20.05; 183.15]
10, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 44.0],numeric__TotalCharges [20.05; 44.0]
11, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, , , , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 21.0],numeric__MonthlyCharges [20.05; 20.5],numeric__TotalCharges [20.05; 429.55]
12, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, , , , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 32.0],numeric__MonthlyCharges [19.8; 20.05],numeric__TotalCharges [20.05; 587.7]
13, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 45.85],numeric__TotalCharges [20.05; 45.85]
14, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [19.2; 20.05],numeric__TotalCharges [20.05; 37.2]
