,query,context_prompt,output,original_query,answer_relevancy
0,Какие федеральные законы формируют правовую основу Стратегии?,"Документ:

Правовую основу настоящей Стратегии составляют Конституция Российской Федерации, федеральные законы от 27 июля 2006 г. № 149-ФЗ ""Об информации, информационных технологиях и о защите информации"", от 27 июля 2006 г. № 152-ФЗ ""О персональных данных"", от 28 июня 2014 г. № 172-ФЗ ""О стратегическом планировании в Российской Федерации"", указы Президента Российской Федерации от 1 декабря 2016 г. № 642 ""О Стратегии научно-технологического развития Российской Федерации"", от 9 мая 2017 г. № 203 ""О Стратегии развития информационного общества в Российской Федерации на 2017 - 2030 годы"", от 7 мая 2018 г. № 204 ""О национальных целях и стратегических задачах развития Российской Федерации на период до 2024 года"", от 21 июля 2020 г. № 474 ""О национальных целях развития Российской Федерации на период до 2030 год""
(п. 2)","Правовую основу Стратегии формируют федеральные законы: № 149-ФЗ ""Об информации, информационных технологиях и о защите информации"", № 152-ФЗ ""О персональных данных"" и № 172-ФЗ ""О стратегическом планировании в Российской Федерации"".",Какие федеральные законы составляют правовую основу Стратегии?,0.9705021863930857
1,Какое определение искусственного интеллекта дается в Стратегии?,"Документ:

искусственный интеллект - комплекс технологических решений, позволяющий имитировать когнитивные функции человека (включая поиск решений без заранее заданного алгоритма) и получать при выполнении конкретных задач результаты, сопоставимые с результатами интеллектуальной деятельности человека или превосходящие их. Комплекс технологических решений включает в себя информационно-коммуникационную инфраструктуру, программное обеспечение (в том числе, в котором используются методы машинного обучения), процессы и сервисы по обработке данных и поиску решений.
(п. 5а)

модель искусственного интеллекта - программа для электронных вычислительных машин (ее составная часть), предназначенная для выполнения интеллектуальных задач на уровне, сопоставимом с результатами интеллектуального труда человека или превосходящем их, использующая алгоритмы и наборы данных для выведения закономерностей, принятия решений или прогнозирования результатов.
(п. 5н)

сильный искусственный интеллект - тип искусственного интеллекта, который способен выполнять различные задачи, взаимодействовать с человеком и самостоятельно (без участия человека) адаптироваться к изменяющимся условиям.
(п. 5т)","В Стратегии искусственный интеллект определяется как комплекс технологических решений, который позволяет имитировать когнитивные функции человека и получать результаты, сопоставимые или превосходящие результаты интеллектуальной деятельности человека. Этот комплекс включает информационно-коммуникационную инфраструктуру, программное обеспечение (включая методы машинного обучения), а также процессы и сервисы по обработке данных и поиску решений.",Что в Стратегии понимается под искусственным интеллектом?,0.7730970227037783
2,Как в Стратегии определяются большие фундаментальные модели и какой порог параметров для них установлен?,"Документ:

большие фундаментальные модели - модели искусственного интеллекта, являющиеся основой для создания и доработки различных видов программного обеспечения, обученные распознаванию определенных видов закономерностей, содержащие не менее 1 млрд. параметров и применяемые для выполнения большого количества различных задач.
(п. 5л)","В Стратегии большие фундаментальные модели определяются как модели искусственного интеллекта, которые служат основой для создания и доработки различных видов программного обеспечения. Для таких моделей установлен порог в не менее 1 миллиарда параметров.",Что такое большие фундаментальные модели и какой порог параметров указан?,0.754436830228783
3,Какой качественный скачок в развитии искусственного интеллекта отмечен в 2022-2023 годах в Стратегии?,"Документ:

К IV кварталу 2023 г. в Российской Федерации были достигнуты значимые результаты в области искусственного интеллекта
а. в сфере развития компетенций и подготовки кадров образовательными организациями высшего образования разработано более 100 образовательных программ высшего образования по профилю ""искусственный интеллект"", в 2022-2023 годах более 30 тыс. педагогических работников повысили квалификацию в области искусственного интеллекта, у талантливых учащихся, осваивающих основные общеобразовательные программы, появилась возможность пройти подготовку на курсах по основам искусственного интеллекта (в 2022-2023 годах более 40 тыс. учащихся приняли участие в программе проектного обучения школьников в области искусственного интеллекта), также в 2021-2023 годах  проводились направленные на стимулирование интереса общества к теме искусственного интеллекта конкурсы (хакатоны) по выполнению задач и поиску лучших решений в области искусственного интеллекта, в которых приняли участие более 30 тыс. человек.
б. в сфере разработки решений в области искусственного интеллекта оказываемая государственная поддержка направлена на создание отечественных решений, например организации, разработавшие более 800 проектов в этой области, получили от государства гранты на реализацию бизнес-модели, развитие продукта, прохождение акселерации. Благодаря такой поддержке в Российской Федерации функционирует более 1 тыс. организаций-разработчиков, создающих инновационные решения в области искусственного интеллекта.
в. в сфере науки созданы шесть исследовательских центров в области искусственного интеллекта на базе ведущих отечественных образовательных организаций высшего образования и научных организаций (федеральные государственные автономные образовательные учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"", ""Московский физико-технический институт (национальный исследовательский университет)"", ""Национальный исследовательский университет ИТМО"", автономная некоммерческая образовательная организация высшего образования ""Сколковский институт науки и технологий"", автономная некоммерческая организация высшего образования ""Университет Иннополис"", федеральное государственное бюджетное учреждение науки Институт системного программирования имени В.П. Иванникова Российской академии наук), в которых работают ученые, регулярно представляющие результаты своей работы на научных конференциях мирового уровня. В исследовательских центрах работает более 50 процентов российских ученых, работы которых публикуются на конференциях в области искусственного интеллекта уровня А*.
г. в сфере внедрения технологий искусственного интеллекта более 30 процентов организаций, осуществляющих деятельность в различных отраслях экономики, применяют технологии искусственного интеллекта для выполнения прикладных задач, в социальной сфере эти технологии используются, например, в российских медицинских организациях для заполнения медицинской документации голосом, что позволяет в среднем экономить до 35 процентов рабочего времени врача, в сфере обеспечения правопорядка в российских городах применяются камеры видеонаблюдения с технологией распознавания лиц.
д. в сфере развития технологической инфраструктуры российскими организациями были созданы новые суперкомпьютеры, которые используются для машинного обучения, в настоящий момент семь российских суперкомпьютеров входит в перечень 100 самых мощных в мире.
(п. 18)

доля приоритетных отраслей экономики с высоким значением индекса готовности к внедрению технологий искусственного интеллекта в 2030 году должна вырасти не менее чем до 95 процентов по сравнению с 12 процентами в 2022 году (в рамках выполнения задачи, указанных в подпунктах ""б"", ""г"" - ""ж"" пункта 26 настоящей Стратегии).
(п. 27и, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

В 2022-2023 годах в мире произошел новый качественный скачок в развитии технологий искусственного интеллекта благодаря совершенствованию больших генеративных моделей в области языка, изображений (включая видеоизображения) и звука. Большие фундаментальные модели уже сейчас способны писать программные коды по техническим заданиям, сочинять поэмы на заданную тему, давать точные и понятные ответы на тестовые вопросы различных уровней сложности, в том числе из образовательных программ. Модели искусственного интеллекта за секунды создают изображения на любую тему по заданному текстовому описанию или наброску, что создает угрозу распространения запрещенной информации, нарушения авторских прав и генерации ошибочных сведений.
(п. 9)

""дорожная карта"" развития высокотехнологичного направления ""Искусственный интеллект"" на период до 2030 года.
(п. 4е, раздел ""Положения настоящей Стратегии должны учитываться при реализации"")

уровень доверия граждан к технологиям искусственного интеллекта в 2030 году должен вырасти не менее чем до 80 процентов по сравнению с 55 процентами в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
(п. 27з, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")","В 2022-2023 годах в мире произошел качественный скачок в развитии технологий искусственного интеллекта благодаря совершенствованию больших генеративных моделей в области языка, изображений и звука. Эти модели способны выполнять задачи, такие как написание программных кодов, сочинение поэм и создание изображений по текстовому описанию.",Какой качественный скачок в развитии ИИ отмечен в 2022-2023 годах?,0.8352098532008667
4,Какие показатели применяются для оценки достижения целей в Стратегии?,"Документ:

Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии
а. совокупная максимальная мощность всех суперкомпьютеров, которые размещены на территории Российской Федерации, в которых используются технологии искусственного интеллекта и которые оснащены графическими процессорами, необходимыми для обучения моделей искусственного интеллекта (рассчитанная по методике, аналогичной рейтингу суперкомпьютеров ""Toп-500""), в 2030 году должна вырасти не менее чем до 1 экзафлопса по сравнению с 0,073 экзафлопса в 2022 году (в рамках выполнения задач, указанных в подпунктах ""а"" - ""г"" пункта 26 настоящей Стратегии).
б. совокупный прирост валового внутреннего продукта за счет использования технологий искусственного интеллекта в 2030 году должен вырасти не менее чем до 11,2 трлн. рублей накопленным итогом по сравнению с 0,2 трлн. рублей в 2022 году (в рамках выполнения задач, указанных в пункте 26 настоящей Стратегии).
в. ежегодный объем оказанных услуг по разработке и реализации решений в области искусственного интеллекта в 2030 году должен вырасти не менее чем до 60 млрд. рублей по сравнению с 12 млрд. рублей в 2022 году (в рамках выполнения задач, указанных в подпунктах ""б"", ""д"", ""е"" и ""з"" пункта 26 настоящей Стратегии).
г. количество публикаций российских авторов на конференциях в области искусственного интеллекта уровня А* в 2030 году должно вырасти не менее чем до 450 публикаций в год по сравнению со 113 публикациями в 2022 году (в рамках выполнения задачи, указанной в подпункте ""в"" пункта 26 настоящей Стратегии).
д. количество публикаций российских авторов в журналах первого квартиля ""Белого списка"" в области искусственного интеллекта в 2030 году должно вырасти не менее чем до 450 публикаций в год по сравнению со 103 публикациями в 2022 году (в рамках выполнения задачи, указанной в подпункте ""в"" пункта 26 настоящей Стратегии).
е. численность выпускников образовательных организаций, освоивших образовательные программы высшего образования в области искусственного интеллекта, в 2030 году должна вырасти не менее чем до 15 500 человек в год по сравнению с 3048 выпускниками в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
ж. доля работников, имеющих навыки использования технологий искусственного интеллекта, в общей численности работников в 2030 году должна вырасти не менее чем до 80 процентов по сравнению с 5 процентами в 2022 году (в рамках выполнения задач, указанных в подпунктах ""г"" и ""з"" пункта 26 настоящей Стратегии).
з. уровень доверия граждан к технологиям искусственного интеллекта в 2030 году должен вырасти не менее чем до 80 процентов по сравнению с 55 процентами в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
и. доля приоритетных отраслей экономики с высоким значением индекса готовности к внедрению технологий искусственного интеллекта в 2030 году должна вырасти не менее чем до 95 процентов по сравнению с 12 процентами в 2022 году (в рамках выполнения задачи, указанных в подпунктах ""б"", ""г"" - ""ж"" пункта 26 настоящей Стратегии).
к. объем затрат организаций на внедрение и использование технологий искусственного интеллекта в 2030 году должен вырасти не менее чем до 850 млрд. рублей в год по сравнению со 123 млрд. рублей в 2022 году (в рамках выполнения задач, указанных в подпунктах ""а"" - ""ж"" пункта 26 настоящей Стратегии).
(п. 27)","Для оценки достижения целей в Стратегии используются следующие показатели:
1. Мощность суперкомпьютеров с технологиями ИИ должна достичь 1 экзафлопса к 2030 году.
2. Прирост ВВП за счет ИИ должен составить 11,2 трлн рублей к 2030 году.
3. Объем услуг в области ИИ должен достичь 60 млрд рублей к 2030 году.
4. Количество публикаций на конференциях уровня А* должно составить 450 в год к 2030 году.
5. Количество публикаций в журналах первого квартиля должно составить 450 в год к 2030 году.
6. Численность выпускников в области ИИ должна достичь 15 500 человек в год к 2030 году.
7. Доля работников с навыками ИИ должна составить 80% к 2030 году.
8. Уровень доверия граждан к ИИ должен составить 80% к 2030 году.
9. Доля отраслей с высоким индексом готовности к ИИ должна составить 95% к 2030 году.
10. Объем затрат на ИИ должен достичь 850 млрд рублей в год к 2030 году.",Какие показатели используются для оценки достижения целей Стратегии?,0.9264918338850285
5,Какие целевые показатели публикационной активности российских авторов в области искусственного интеллекта установлены в Стратегии?,"Документ:

количество публикаций российских авторов на конференциях в области искусственного интеллекта уровня А* в 2030 году должно вырасти не менее чем до 450 публикаций в год по сравнению со 113 публикациями в 2022 году (в рамках выполнения задачи, указанной в подпункте ""в"" пункта 26 настоящей Стратегии).
(п. 27г, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

количество публикаций российских авторов в журналах первого квартиля ""Белого списка"" в области искусственного интеллекта в 2030 году должно вырасти не менее чем до 450 публикаций в год по сравнению со 103 публикациями в 2022 году (в рамках выполнения задачи, указанной в подпункте ""в"" пункта 26 настоящей Стратегии).
(п. 27д, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

закрепления показателей отнесения научных исследований в области искусственного интеллекта к высокому уровню (публикации на конференциях в области искусственного интеллекта уровня А*) и среднему уровню (публикации на конференциях в области искусственного интеллекта уровня А и в научных журналах первого квартиля ""Белого списка"").
(п. 31а, раздел ""Качественное развитие российской науки в области искусственного интеллекта должно осуществляться путем"")

Основныe задачи развития искусственного интеллекта в Российской Федерации
а. повышение доступности инфраструктуры, необходимой для развития технологий искусственного интеллекта.
б. поддержка организаций-разработчиков технологий искусственного интеллекта.
в. поддержка научных исследований и разработок в целях обеспечения опережающего развития искусственного интеллекта.
г. повышение уровня компетенций в области искусственного интеллекта и уровня информированности граждан о технологиях искусственного интеллекта.
д. стимулирование внедрения технологий искусственного интеллекта в отраслях экономики и социальной сферы.
е. обязательное внедрение доверенных технологий искусственного интеллекта в тех областях его использования, в которых может быть нанесен ущерб безопасности Российской Федерации.
ж. создание комплексной системы нормативно-правового регулирования общественных отношений, связанных с развитием и использованием технологий искусственного интеллекта, обеспечение безопасности применения таких технологий.
з. укрепление международного сотрудничества в области использования технологий искусственного интеллекта.
(п. 26)

Целями развития искусственного интеллекта в Российской Федерации являются обеспечение роста благосостояния и качества жизни ее населения, обеспечение национальной безопасности и правопорядка, достижение устойчивой конкурентоспособности российской экономики, в том числе лидирующих позиций в мире в области искусственного интеллекта.
(п. 25)","В Стратегии установлены следующие целевые показатели публикационной активности российских авторов в области искусственного интеллекта на 2030 год: количество публикаций на конференциях уровня А* должно вырасти до не менее чем 450 публикаций в год по сравнению с 113 публикациями в 2022 году, а количество публикаций в журналах первого квартиля ""Белого списка"" должно достичь не менее 450 публикаций в год по сравнению со 103 публикациями в 2022 году.",Какие целевые показатели публикационной активности российских авторов в ИИ установлены?,0.751972419437584
6,Какую долю работников с навыками в области искусственного интеллекта планируется достичь к 2030 году в Стратегии?,"Документ:

доля работников, имеющих навыки использования технологий искусственного интеллекта, в общей численности работников в 2030 году должна вырасти не менее чем до 80 процентов по сравнению с 5 процентами в 2022 году (в рамках выполнения задач, указанных в подпунктах ""г"" и ""з"" пункта 26 настоящей Стратегии).
(п. 27ж, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

численность выпускников образовательных организаций, освоивших образовательные программы высшего образования в области искусственного интеллекта, в 2030 году должна вырасти не менее чем до 15 500 человек в год по сравнению с 3048 выпускниками в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
(п. 27е, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

уровень доверия граждан к технологиям искусственного интеллекта в 2030 году должен вырасти не менее чем до 80 процентов по сравнению с 55 процентами в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
(п. 27з, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

доля приоритетных отраслей экономики с высоким значением индекса готовности к внедрению технологий искусственного интеллекта в 2030 году должна вырасти не менее чем до 95 процентов по сравнению с 12 процентами в 2022 году (в рамках выполнения задачи, указанных в подпунктах ""б"", ""г"" - ""ж"" пункта 26 настоящей Стратегии).
(п. 27и, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

Ежегодно увеличивается количество работников, занятых в области искусственного интеллекта: в США уже 2 процента всех публикуемых вакансий связано с работой в области искусственного интеллекта. В Канаде, Австралии, европейских государствах этот показатель находится на уровне 0,7 - 1,5 процента, но также увеличивается каждый год. В России данный показатель составляет 1 процент.
(п. 17)","К 2030 году планируется, что доля работников, имеющих навыки использования технологий искусственного интеллекта, вырастет не менее чем до 80 процентов.",Какую долю работников с навыками ИИ планируется достичь к 2030 году?,0.8670562670371513
7,Какой минимальный оклад в рублях для специалистов в области искусственного интеллекта в государственном секторе установлен в Стратегии?,"Документ:

численность выпускников образовательных организаций, освоивших образовательные программы высшего образования в области искусственного интеллекта, в 2030 году должна вырасти не менее чем до 15 500 человек в год по сравнению с 3048 выпускниками в 2022 году (в рамках выполнения задачи, указанной в подпункте ""г"" пункта 26 настоящей Стратегии).
(п. 27е, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

ежегодный объем оказанных услуг по разработке и реализации решений в области искусственного интеллекта в 2030 году должен вырасти не менее чем до 60 млрд. рублей по сравнению с 12 млрд. рублей в 2022 году (в рамках выполнения задач, указанных в подпунктах ""б"", ""д"", ""е"" и ""з"" пункта 26 настоящей Стратегии).
(п. 27в, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")",Информация о минимальном окладе для специалистов в области искусственного интеллекта в государственном секторе в документе не представлена.,Какой минимальный оклад (в рублях) для ИИ-специалистов в госсекторе установлен Стратегией?,0.0
8,Какова причина установления в Стратегии целевого объема услуг по разработке и реализации решений в области искусственного интеллекта в размере 12 миллиардов рублей к 2030 году?,"Документ:

ежегодный объем оказанных услуг по разработке и реализации решений в области искусственного интеллекта в 2030 году должен вырасти не менее чем до 60 млрд. рублей по сравнению с 12 млрд. рублей в 2022 году (в рамках выполнения задач, указанных в подпунктах ""б"", ""д"", ""е"" и ""з"" пункта 26 настоящей Стратегии).
(п. 27в, раздел ""Целевые показатели, характеризующе достижение целей, установленных в пункте 25 настоящей Стратегии"")

увеличение по сравнению с 2023 годом объема финансирования научных исследований и разработок технологий искусственного интеллекта и технологий, в которых в качестве инструмента для выполнения научных и прикладных задач используются технологии искусственного интеллекта, за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации и средств внебюджетных источников.
(п. 30г, раздел ""Основныe направления поддержки научных исследований и разработок в целях обеспечения опережающего развития искусственного интеллекта"")

Основныe задачи развития искусственного интеллекта в Российской Федерации
а. повышение доступности инфраструктуры, необходимой для развития технологий искусственного интеллекта.
б. поддержка организаций-разработчиков технологий искусственного интеллекта.
в. поддержка научных исследований и разработок в целях обеспечения опережающего развития искусственного интеллекта.
г. повышение уровня компетенций в области искусственного интеллекта и уровня информированности граждан о технологиях искусственного интеллекта.
д. стимулирование внедрения технологий искусственного интеллекта в отраслях экономики и социальной сферы.
е. обязательное внедрение доверенных технологий искусственного интеллекта в тех областях его использования, в которых может быть нанесен ущерб безопасности Российской Федерации.
ж. создание комплексной системы нормативно-правового регулирования общественных отношений, связанных с развитием и использованием технологий искусственного интеллекта, обеспечение безопасности применения таких технологий.
з. укрепление международного сотрудничества в области использования технологий искусственного интеллекта.
(п. 26)

реализация инновационных задач в области искусственного интеллекта, в том числе по разработке и адаптации больших фундаментальных моделей для их применения в отраслях экономики, по формированию условий для создания сильного искусственного интеллекта, повышения доступности искусственного интеллекта в целях его использования в повседневной жизни путем поддержки и создания новых исследовательских центров в области искусственного интеллекта.
(п. 30а, раздел ""Основныe направления поддержки научных исследований и разработок в целях обеспечения опережающего развития искусственного интеллекта"")

стимулирование внедрения технологий искусственного интеллекта в отраслях экономики и социальной сферы.
(п. 26д, раздел ""Основныe задачи развития искусственного интеллекта в Российской Федерации"")","В вашем вопросе есть неточность. В Стратегии установлен целевой объем оказанных услуг в области искусственного интеллекта в размере 60 миллиардов рублей к 2030 году, а не 12 миллиардов. Цель заключается в значительном увеличении объема услуг по сравнению с 12 миллиардами рублей в 2022 году, что отражает стремление к развитию и расширению рынка искусственного интеллекта в России.",Почему Стратегия устанавливает целевой объем услуг по разработке и реализации ИИ-решений в 12 млрд рублей к 2030 году?,0.7859748041728499
9,Какова роль сотрудничества с государствами-партнерами в области вычислительных мощностей в Стратегии?,"Документ:

кооперация с государствами-партнерами в сфере вычислительных мощностей для выполнения задач в области искусственного интеллекта.
(п. 28д, раздел ""Основныe направления повышения доступности инфраструктуры, необходимой для развития технологий искусственного интеллекта"")

развитие совместно с иностранными партнерами объединенной вычислительной инфраструктуры.
(п. 40б4, подпункт ""развитие международного научно-технического сотрудничества"", раздел ""Основные направления укрепления международного сотрудничества в области использования технологий искусственного интеллекта"")","В Стратегии подчеркивается важность кооперации с государствами-партнерами для выполнения задач в области искусственного интеллекта, что включает развитие объединенной вычислительной инфраструктуры. Это сотрудничество направлено на повышение доступности необходимых вычислительных мощностей и укрепление международного научно-технического сотрудничества.",Какую роль играет кооперация с государствами-партнерами в сфере вычислительных мощностей?,0.57245235473051
